#       O3      NO2     NO
2014-10-18_04	4	47	19
2014-10-18_05	0	47.5	18.5
2014-10-18_06	1	48	18
2014-10-18_07	0	47	47
2014-10-18_08	0	47	51
2014-10-18_09	0	47	47
2014-10-18_10	0	48	66
2014-10-18_11	10	51	34
2014-10-18_12	26	43	10
2014-10-18_13	47	12	1
2014-10-18_14	51	9	0
2014-10-18_15	53	9	0
2014-10-18_16	60	14	1
2014-10-18_17	83	13	0
2014-10-18_18	74	22	2
2014-10-18_19	91	3	0
2014-10-18_20	47	35	1
2014-10-18_21	28	39	4
2014-10-18_22	11	52	8
2014-10-18_23	41	19	0
2014-10-19_00	49	16	0
2014-10-19_01	34	25	0
2014-10-19_02	15	41	6
2014-10-19_02	0	51	28
2014-10-19_03	0	52	48
2014-10-19_04	0	40.5	24.5
2014-10-19_05	14	29	1
2014-10-19_06	19	23	8
2014-10-19_07	0	43	42
2014-10-19_08	0	36	16
2014-10-19_09	0	44	32
2014-10-19_10	4	52	48
2014-10-19_11	17	48	28.5
2014-10-19_12	30	44	9
2014-10-19_13	30	57	16
2014-10-19_14	82	21	1
2014-10-19_15	112	11	0
2014-10-19_16	118	16	0
2014-10-19_17	127	14	0
2014-10-19_18	123	14	0
2014-10-19_19	120.47619047619	13.8571428571429	0
2014-10-19_20	117.952380952381	13.7142857142857	0
2014-10-19_21	115.428571428571	13.5714285714286	0
2014-10-19_22	112.904761904762	13.4285714285714	0
2014-10-19_23	110.380952380952	13.2857142857143	0
2014-10-20_00	107.857142857143	13.1428571428571	0
2014-10-20_01	105.333333333333	13	0
2014-10-20_02	102.809523809524	12.8571428571429	0
2014-10-20_03	100.285714285714	12.7142857142857	0
2014-10-20_04	97.7619047619048	12.5714285714286	0
2014-10-20_05	95.2380952380952	12.4285714285714	0
2014-10-20_06	92.7142857142857	12.2857142857143	0
2014-10-20_07	90.1904761904762	12.1428571428571	0
2014-10-20_08	87.6666666666667	12	0
2014-10-20_09	85.1428571428571	11.8571428571429	0
2014-10-20_10	82.6190476190476	11.7142857142857	0
2014-10-20_11	80.0952380952381	11.5714285714286	0
2014-10-20_12	77.5714285714286	11.4285714285714	0
2014-10-20_13	75.047619047619	11.2857142857143	0
2014-10-20_14	72.5238095238095	11.1428571428571	0
2014-10-20_15	70	11	0
2014-10-20_16	68	9	0
2014-10-20_17	65	9	0
2014-10-20_18	58	11	0
2014-10-20_19	55	12	0
2014-10-20_20	47	12	0
2014-10-20_21	43	10	1
2014-10-20_22	41	13	3
2014-10-20_23	43	9	2
2014-10-21_00	42	8	1
2014-10-21_01	40	9	1
2014-10-21_02	42	4	0
2014-10-21_03	42	2	0
2014-10-21_04	42	2.5	0
2014-10-21_05	41	3	0
2014-10-21_06	41	0	0
2014-10-21_07	40	1	0
2014-10-21_08	38.5	4	0
2014-10-21_09	37	4	0
2014-10-21_10	25	14	0
2014-10-21_11	23	21	1
2014-10-21_12	26	18	1
2014-10-21_13	22	16.2857142857143	1.42857142857143
2014-10-21_14	29	14.5714285714286	1.85714285714286
2014-10-21_15	30.6	12.8571428571429	2.28571428571429
2014-10-21_16	32.2	11.1428571428571	2.71428571428571
2014-10-21_17	33.8	9.42857142857143	3.14285714285714
2014-10-21_18	35.4	7.71428571428572	3.57142857142857
2014-10-21_19	37	6	4
2014-10-21_20	36	9	3
2014-10-21_21	35	10	1
2014-10-21_22	32	12	1
2014-10-21_23	26	17	1
2014-10-22_00	33	10	0
2014-10-22_01	26	16	1
2014-10-22_02	34	10	0
2014-10-22_03	30	10	0
2014-10-22_04	26	10	0.5
2014-10-22_05	30	10	1
2014-10-22_06	24	13	1
2014-10-22_07	27	11	0
2014-10-22_08	25.5	11	0
2014-10-22_09	24	16	1
2014-10-22_10	14	27	3
2014-10-22_11	14	29	8
2014-10-22_12	24	18	4
2014-10-22_13	25	19	5
2014-10-22_14	29	17	4
2014-10-22_15	32	15	4
2014-10-22_16	39	11	3
2014-10-22_17	38	11	2
2014-10-22_18	39	11	2
2014-10-22_19	39	12	2
2014-10-22_20	39	13	1
2014-10-22_21	38	15	1
2014-10-22_22	33	21	1
2014-10-22_23	34	19	0
2014-10-23_00	31	22	1
2014-10-23_01	23	24	1
2014-10-23_02	21	28	2
2014-10-23_03	10	36	3
2014-10-23_04	18	31	2
2014-10-23_05	17	26	1
2014-10-23_06	13	26	2
2014-10-23_07	0	40	19
2014-10-23_08	0	38	38
2014-10-23_09	0	36	57
2014-10-23_10	1	43	74
2014-10-23_11	11	40	28
2014-10-23_12	20	29	16
2014-10-23_13	39	14	5
2014-10-23_14	46	12	3
2014-10-23_15	51	10	2
2014-10-23_16	54	11	2
2014-10-23_17	52	13	2
2014-10-23_18	51	15	2
2014-10-23_19	58	8	1
2014-10-23_20	48	17	2
2014-10-23_21	52	17	1
2014-10-23_22	40	29	1
2014-10-23_23	37	27	0
2014-10-24_00	20	38	1
2014-10-24_01	1	59	25
2014-10-24_02	0	60	31
2014-10-24_03	0	55	65
2014-10-24_04	0	51	50
2014-10-24_05	0	47	35
2014-10-24_06	0	50	37
2014-10-24_07	0	35	83
2014-10-24_08	0	36	65
2014-10-24_09	0	39	44
2014-10-24_10	1	42	49
2014-10-24_11	14	48	25
2014-10-24_12	24	51	17
2014-10-24_13	25	51	12
2014-10-24_14	55	16	3
2014-10-24_15	62	12	1
2014-10-24_16	61	12	1
2014-10-24_17	63	12	1
2014-10-24_18	67	12	1
2014-10-24_19	63	11	1
2014-10-24_20	65	16	1
2014-10-24_21	53	25	1
2014-10-24_22	38	31	1
2014-10-24_23	46	28	0
2014-10-25_00	51	27	0
2014-10-25_01	35	42	0
2014-10-25_02	48	30	0
2014-10-25_03	50	26	0
2014-10-25_04	9	39.5	10
2014-10-25_05	0	53	20
2014-10-25_06	10	42	5
2014-10-25_07	14	35	15
2014-10-25_08	16	44	15
2014-10-25_09	18	35	1
2014-10-25_10	25	33	2
2014-10-25_11	9	45	27
2014-10-25_12	9	47	18
2014-10-25_13	46	28	2
2014-10-25_14	60	16	2
2014-10-25_15	71	6	1
2014-10-25_16	75	4	1
2014-10-25_17	72	7	1
2014-10-25_18	69	13	1
2014-10-25_19	58	21	1
2014-10-25_20	64	11	0
2014-10-25_21	54	13	0
2014-10-25_22	35	23	0
2014-10-25_23	33	21	0
2014-10-26_00	17	34	3
2014-10-26_01	11	38	4
2014-10-26_02	4	47	4
2014-10-26_03	6	39	10
2014-10-26_04	7	32	6.5
2014-10-26_05	9	25	3
2014-10-26_06	30	14	1
2014-10-26_07	5	34	24
